GO ID	GO term	# of direct and indirect annotations	# of expert votes (out of 6)
GO:0006986	response to unfolded protein	12	6
GO:0006730	one-carbon compound metabolism	12	6
GO:0006056	mannoprotein metabolism	12	6
GO:0001510	RNA methylation	11	6
GO:0006839	mitochondrial transport	11	6
GO:0006308	DNA catabolism	11	6
GO:0030261	chromosome condensation	11	6
GO:0009415	response to water	10	5
GO:0008298	intracellular mRNA localization	10	5
GO:0045454	cell redox homeostasis	10	5
GO:0016050	vesicle organization and biogenesis	9	5
GO:0015891	siderophore transport	9	5
GO:0009306	protein secretion	9	4
GO:0006276	plasmid maintenance	9	6
GO:0051248	negative regulation of protein metabolism	9	5
GO:0007039	vacuolar protein catabolism	8	5
GO:0016074	snoRNA metabolism	8	5
GO:0051261	protein depolymerization	8	4
GO:0006518	peptide metabolism	8	5
GO:0051049	regulation of transport	7	5
GO:0006280	mutagenesis	7	6
GO:0051180	vitamin transport	6	6
GO:0009410	response to xenobiotic stimulus	6	5
GO:0007584	response to nutrients	6	4
GO:0009743	response to carbohydrate stimulus	6	4
GO:0016925	protein sumoylation	6	5
GO:0000338	protein deneddylation	6	6
GO:0015791	polyol transport	6	5
GO:0001522	pseudouridine synthesis	5	6
GO:0009225	nucleotide-sugar metabolism	5	5
GO:0051129	negative regulation of cell organization and biogenesis	5	4
GO:0007029	ER organization and biogenesis	5	5
GO:0006265	DNA topological change	5	6
GO:0016073	snRNA metabolism	4	5
GO:0009452	RNA capping	4	5
GO:0042176	regulation of protein catabolism	4	6
GO:0018065	protein-cofactor linkage	4	5
GO:0045116	protein neddylation	4	5
GO:0015833	peptide transport	4	5
GO:0042180	ketone metabolism	4	5
GO:0006984	ER-nuclear signaling pathway	4	6
GO:0051181	cofactor transport	4	5
GO:0006390	transcription from mitochondrial promoter	3	6
GO:0009268	response to pH	3	5
GO:0017006	protein-tetrapyrrole linkage	3	5
GO:0007009	plasma membrane organization and biogenesis	3	4
GO:0050874	organismal physiological process	3	5
GO:0048285	organelle fission	3	5
GO:0042044	fluid transport	3	5
GO:0009581	detection of external stimulus	3	4
GO:0016032	viral life cycle	2	4
GO:0009847	spore germination	2	5
GO:0051238	sequestering of metal ion	2	5
GO:0009303	rRNA transcription	2	5
GO:0009966	regulation of signal transduction	2	4
GO:0051252	regulation of RNA metabolism	2	6
GO:0016926	protein desumoylation	2	5
GO:0018987	osmoregulation	2	5
GO:0000280	nuclear division	2	4
GO:0006662	glycerol ether metabolism	2	6
GO:0015976	carbon utilization	2	4
GO:0007624	ultradian rhythm	1	5
GO:0042214	terpene metabolism	1	5
GO:0009302	snoRNA transcription	1	5
GO:0009636	response to toxin	1	4
GO:0009314	response to radiation	1	5
GO:0045471	response to ethanol	1	5
GO:0046677	response to antibiotic	1	5
GO:0001101	response to acid	1	5
GO:0045595	regulation of cell differentiation	1	4
GO:0050821	protein stabilization	1	5
GO:0051258	protein polymerization	1	4
GO:0009305	protein amino acid biotinylation	1	5
GO:0018410	peptide or protein carboxyl-terminal blocking	1	5
GO:0030397	membrane disassembly	1	5
GO:0044419	interaction between organisms	1	4
GO:0007030	Golgi organization and biogenesis	1	5
GO:0006858	extracellular transport	1	6
GO:0006266	DNA ligation	1	6
GO:0006033	chitin localization	1	6
GO:0016998	cell wall catabolism	1	5
GO:0046713	boron transport	1	4
